question_id,mode,pipeline,question,answer,answer_supported,has_unsupported_claims,has_conflict_error,comment
Q001,main,baseline,Какие основные направления поступления представлены на сайте приёмной комиссии МАИ?,"На основе предоставленного контекста, основные направления поступления на сайте приёмной комиссии МАИ представлены следующими блоками: * Базовое высшее образование; * Специализированное высшее образование — магистратура; * Среднее профессиональное образование; * Поступление иностранных граждан. Также упоминается направление «Поступление без вступительных испытаний» в контексте финансовой поддержки и целевого обучения.",partial,yes,not_applicable,"Корректно перечислены основные направления, но добавлен спорный дополнительный пункт, не являющийся основным направлением поступления."
Q001,main,advanced,Какие основные направления поступления представлены на сайте приёмной комиссии МАИ?,"На сайте приёмной комиссии МАИ представлены следующие основные направления поступления: * Базовое высшее образование; * Специализированное высшее образование (магистратура); * Среднее профессиональное образование; * Поступление иностранных граждан; * Поступающие, использующие особые права, индивидуальные достижения, квоты или целевое обучение.",partial,yes,not_applicable,"Основные направления указаны, но дополнительно смешаны с особыми правами, достижениями, квотами и целевым обучением."
Q001,main,posthoc,Какие основные направления поступления представлены на сайте приёмной комиссии МАИ?,"На сайте приёмной комиссии МАИ представлены следующие основные направления поступления: * Базовое высшее образование; * Специализированное высшее образование (магистратура); * Среднее профессиональное образование; * Поступление иностранных граждан; * Поступающие, использующие особые права, индивидуальные достижения, квоты или целевое обучение.",partial,yes,not_applicable,"Ответ в целом релевантен, но содержит дополнительный пункт, выходящий за рамки основных направлений поступления."
Q001,main,final_verified,Какие основные направления поступления представлены на сайте приёмной комиссии МАИ?,"На сайте приёмной комиссии МАИ выделены следующие основные направления поступления: базовое высшее образование, специализированное высшее образование, среднее профессиональное образование и раздел для иностранных граждан. Для получения точных сведений о сроках, экзаменах, документах и количестве мест используются специализированные разделы и официальные документы.",yes,no,not_applicable,Ответ кратко и корректно перечисляет основные направления и не добавляет лишних категорий.
Q005,main,baseline,Сколько заявлений и направлений подготовки можно указать при подаче документов в МАИ?,При подаче документов в МАИ можно подать только **одно заявление** о приёме. В этом заявлении можно указать не более **пяти направлений подготовки или специальностей**.,yes,no,not_applicable,Ответ полностью покрывает оба ограничения: одно заявление и не более пяти направлений.
Q005,main,advanced,Сколько заявлений и направлений подготовки можно указать при подаче документов в МАИ?,При подаче документов в МАИ можно подать только **одно заявление** о приёме. В этом заявлении можно указать не более **пяти направлений** подготовки или специальностей.,yes,no,not_applicable,Ответ полностью покрывает оба ограничения.
Q005,main,posthoc,Сколько заявлений и направлений подготовки можно указать при подаче документов в МАИ?,При подаче документов в МАИ можно подать только **одно заявление** о приёме. В этом заявлении можно указать не более **пяти направлений подготовки** или специальностей.,yes,no,not_applicable,Ответ полностью покрывает оба ограничения.
Q005,main,final_verified,Сколько заявлений и направлений подготовки можно указать при подаче документов в МАИ?,При подаче документов в МАИ поступающий может указать только одно заявление о приёме. В этом единственном заявлении можно указать не более пяти направлений подготовки или специальностей.,yes,no,not_applicable,Ответ полностью покрывает оба ограничения и сформулирован без лишних сведений.
Q012,main,baseline,Чем минимальные баллы отличаются от проходных баллов?,"Минимальные баллы и проходные баллы отличаются следующим образом: * **Минимальный балл** — это установленный порог по отдельному предмету. Он применяется до анализа конкурсной ситуации. Если результат ниже этого значения, поступающий не подтверждает успешное прохождение вступительного испытания по этому предмету. * **Проходной балл** формируется по итогам конкурса и зависит от количества мест, числа поступающих, их результатов, приоритетов, согласий на зачисление и других факторов. Таким образом, минимальный балл позволяет участвовать в конкурсе, но не гарантирует зачисление, в то время как проходной балл является результатом анализа конкурсной ситуации.",yes,no,not_applicable,"Корректно различает минимальный и проходной балл, указывает, что минимальный балл не гарантирует зачисление."
Q012,main,advanced,Чем минимальные баллы отличаются от проходных баллов?,"Минимальные баллы и проходные баллы отличаются следующим образом: * **Минимальный балл** — это установленный порог по отдельному предмету. Он применяется до анализа конкурсной ситуации. Если результат ниже этого значения, поступающий не подтверждает успешное прохождение вступительного испытания и может не быть допущен к участию в конкурсе. Минимальный балл позволяет участвовать в конкурсе, но не гарантирует зачисление. * **Проходной балл** формируется по итогам конкурса и зависит от количества мест, числа поступающих, их результатов, приоритетов, согласий на зачисление и других факторов.",yes,no,not_applicable,Корректно раскрывает различие между минимальным и проходным баллом.
Q012,main,posthoc,Чем минимальные баллы отличаются от проходных баллов?,"Минимальные баллы и проходные баллы отличаются следующим образом: * **Минимальный балл** — это установленный порог по отдельному предмету. Он применяется до анализа конкурсной ситуации. Если результат ниже этого значения, поступающий не подтверждает успешное прохождение вступительного испытания и может не быть допущен к участию в конкурсе. Минимальный балл позволяет участвовать в конкурсе, но не гарантирует зачисление. * **Проходной балл** формируется по итогам конкурса и зависит от количества мест, числа поступающих, их результатов, приоритетов, согласий на зачисление и других факторов.",yes,no,not_applicable,Корректно раскрывает различие между минимальным и проходным баллом.
Q012,main,final_verified,Чем минимальные баллы отличаются от проходных баллов?,"Минимальный балл и проходной балл отличаются по своей природе и значению: 1. **Минимальный балл** — это нижний допустимый порог по предмету, который позволяет участвовать в конкурсе, но не гарантирует успешного прохождения испытания или зачисление. 2. **Проходной балл** формируется по итогам конкретного конкурса и заранее точно неизвестен. Таким образом, минимальный балл служит условием допуска к процедуре, тогда как проходной балл — это итоговый результат конкретного конкурса, который определяет возможность зачисления.",partial,yes,not_applicable,"Основное различие раскрыто, но формулировка о том, что минимальный балл не гарантирует успешного прохождения испытания, выглядит неточной."
Q016,main,baseline,Какие обязательства возникают у поступающего при целевом обучении в МАИ?,"При целевом обучении в МАИ поступающий обязан: 1. Заключить договор о целевом обучении. 2. Отработать в интересах заказчика (предприятия, органа власти или другой организации) после окончания обучения. Детали условий договора, включая конкретные сроки отработки, меры поддержки и требования к трудоустройству, абитуриент должен изучить самостоятельно.",partial,no,not_applicable,"Указаны договор и обязанность отработки, но не раскрыто обязательство освоить образовательную программу и срок отработки."
Q016,main,advanced,Какие обязательства возникают у поступающего при целевом обучении в МАИ?,"Согласно предоставленному контексту, обязательства поступающего при целевом обучении в МАИ включают: * **Обязательство отработать:** Студент после окончания обучения обязан отработать у заказчика (предприятия, органа власти или другой организации). * **Соблюдение условий договора:** За неисполнение условий договора о целевом обучении предусматриваются санкции, в том числе полный возврат средств за обучение. * **Невозможность расторжения:** Договор о целевом обучении, в соответствии с которым студент поступил по целевой квоте, расторгнуть нельзя.",partial,no,not_applicable,"Ответ релевантен, но смещён к санкциям и условиям договора; не полностью раскрыта структура обязательств."
Q016,main,posthoc,Какие обязательства возникают у поступающего при целевом обучении в МАИ?,"Согласно предоставленному контексту, обязательства поступающего при целевом обучении в МАИ включают: * **Обязательство отработать:** Студент после окончания обучения обязан отработать у заказчика (предприятия, органа власти или другой организации). * **Санкции за неисполнение:** За неисполнение условий договора предусматриваются санкции, в том числе полный возврат средств за обучение. * **Невозможность расторжения:** Договор о целевом обучении расторгнуть нельзя. * **Выбор программы и заказчика:** Поступающий выбирает не только образовательную программу, но и заказчика.",partial,no,not_applicable,"Ответ релевантен, но содержит больше сопутствующих условий, чем прямых обязательств поступающего."
Q016,main,final_verified,Какие обязательства возникают у поступающего при целевом обучении в МАИ?,"При целевом обучении в МАИ у поступающего возникают следующие обязательства: 1. Студент обязан освоить образовательную программу и отработать не менее трёх лет на предприятии, указанном в договоре. 2. Целевое обучение осуществляется на основании договора с заказчиком.",yes,no,not_applicable,"Корректно указаны договор с заказчиком, освоение программы и отработка не менее трёх лет."
